term,stem,count
"terrorist","terrorist",1019
"islamic","islam",66
"isis","isi",59
"trump","trump",52
"united","unit",46
"obama","obama",43
"paris","pari",43
"american","american",41
"syria","syria",40
"muslims","muslim",40
"turkey","turkey",40
"brussels","brussel",36
"terrorism","terror",33
"victims","victim",30
"france","franc",29
"threats","threat",28
"clinton","clinton",26
"syrian","syrian",25
"alleged","alleg",25
"organisation","organis",25
"washington","washington",24
"fbi","fbi",24
"investigators","investig",24
"intelligence","intellig",22
"targets","target",22
"iraq","iraq",22
"french","french",20
"belgium","belgium",20
"recruits","recruit",19
"airport","airport",18
"europe","europ",18
"bombings","bomb",18
"extremist","extremist",18
"linked","link",18
"donald","donald",18
"radical","radic",18
"ban","ban",17
"minister","minist",16
"committing","commit",16
"explosive","explos",16
"weapons","weapon",16
"iran","iran",16
"saudi","saudi",15
"republican","republican",15
"global","global",15
"designated","design",15
"ap","ap",15
"pakistan","pakistan",14
"crimes","crime",14
"suicide","suicid",14
"militants","milit",14
"plots","plot",14
"ankara","ankara",14
"fighters","fighter",14
"murders","murder",14
"refugee","refuge",13
"army","armi",13
"kurdish","kurdish",13
"campaign","campaign",13
"orlando","orlando",13
"facebook","facebook",13
"russia","russia",13
"criminal","crimin",13
"turkish","turkish",13
"america","america",12
"qaeda","qaeda",12
"prosecutors","prosecutor",12
"leader","leader",12
"armed","arm",12
"germany","germani",12
"arabia","arabia",12
"erdogan","erdogan",12
"media","media",12
"hillary","hillari",12
"libya","libya",12
"ties","tie",11
"nations","nation",11
"involvement","involv",11
"disrupt","disrupt",11
"bernardino","bernardino",11
"networks","network",11
"nuclear","nuclear",11
"online","onlin",11
"san","san",11
"isil","isil",11
"benghazi","benghazi",11
"ministry","ministri",10
"raid","raid",10
"violence","violenc",10
"aftermath","aftermath",10
"afghanistan","afghanistan",10
"barack","barack",10
"twitter","twitter",10
"attackers","attack",10
"democratic","democrat",10
"pkk","pkk",9
"spokesman","spokesman",9
"killings","kill",9
"mateen","mateen",9
"uk","uk",9
"convicted","convict",9
"election","elect",9
"tuesday's","tuesday",9
"iphone","iphon",9
"british","british",9
"iranian","iranian",9
"nightclub","nightclub",8
"mohamed","moham",8
"executed","execut",8
"accusing","accus",8
"shooter","shooter",8
"presidential","presidenti",8
"london","london",8
"children","children",8
"european","european",8
"bush","bush",8
"internet","internet",7
"soldiers","soldier",7
"stabbing","stab",7
"reuters","reuter",7
"congress","congress",7
"traveling","travel",7
"tayyip","tayyip",7
"celebrate","celebr",7
"surveillance","surveil",7
"incidents","incid",7
"homeland","homeland",7
"ideology","ideolog",7
"johnson","johnson",7
"jihadist","jihadist",7
"arab","arab",7
"berlin","berlin",7
"laden","laden",7
"affiliation","affili",7
"coordinated","coordin",7
"immigrants","immigr",7
"bin","bin",7
"george","georg",7
"atrocity","atroc",7
"rebels","rebel",7
"drone","drone",7
"coup","coup",7
"mayor","mayor",7
"daesh","daesh",7
"belgian","belgian",7
"deadliest","deadliest",7
"russian","russian",7
"german","german",7
"hollande","holland",7
"western","western",7
"indian","indian",6
"kurdistan","kurdistan",6
"flag","flag",6
"embassy","embassi",6
"belonging","belong",6
"marine","marin",6
"responding","respond",6
"john","john",6
"gulen","gulen",6
"abdeslam","abdeslam",6
"thwart","thwart",6
"recep","recep",6
"suspects","suspect",6
"assault","assault",6
"havens","haven",6
"university","univers",6
"southern","southern",6
"teenager","teenag",6
"anti-terrorist","anti-terrorist",6
"shiite","shiit",6
"deadly","dead",6
"tv","tv",6
"massacre","massacr",6
"screening","screen",6
"extremism","extrem",6
"sunni","sunni",6
"launching","launch",6
"dozens","dozen",6
"jihadi","jihadi",6
"denounced","denounc",6
"photo","photo",6
"15th","15th",6
"blamed","blame",6
"olympics","olymp",6
"illegal","illeg",6
"abu","abu",5
"david","david",5
"families","famili",5
"jersey","jersey",5
"economic","econom",5
"pyd","pyd",5
"hezbollah","hezbollah",5
"visa","visa",5
"james","jame",5
"senate","senat",5
"eu","eu",5
"strengthen","strengthen",5
"engage","engag",5
"farook","farook",5
"conservative","conserv",5
"false","fals",5
"northern","northern",5
"challenging","challeng",5
"francois","francoi",5
"memorial","memori",5
"president's","presid",5
"israeli","isra",5
"country's","countri",5
"twin","twin",5
"holiday","holiday",5
"bombers","bomber",5
"captured","captur",5
"tourists","tourist",5
"horrific","horrif",5
"cooperation","cooper",5
"focused","focus",5
"waged","wage",5
"osama","osama",5
"excluded","exclud",5
"centre","centr",5
"insurgency","insurg",5
"taliban","taliban",5
"participating","particip",5
"crisis","crisi",5
"tracks","track",5
"parliament","parliament",5
"defendant","defend",5
"detained","detain",5
"cruz","cruz",5
"islamist","islamist",5
"sunday's","sunday",5
"criticized","critic",5
"judge","judg",5
"towers","tower",5
"israel","israel",5
"instability","instabl",5
"rhetoric","rhetor",5
"cnn","cnn",5
"considers","consid",5
"assisting","assist",5
"lebanon","lebanon",5
"preventing","prevent",5
"journalist","journalist",5
"intentionally","intent",5
"egypt","egypt",5
"survivors","survivor",5
"tweeted","tweet",5
"kerry","kerri",5
"firearm","firearm",5
"victory","victori",5
"brand","brand",4
"group's","group",4
"activated","activ",4
"prosecution","prosecut",4
"labelled","label",4
"sydney","sydney",4
"assad","assad",4
"ambassador","ambassador",4
"yemen","yemen",4
"war'","war",4
"agreements","agreement",4
"economy","economi",4
"genocide","genocid",4
"calling","call",4
"istanbul","istanbul",4
"heightening","heighten",4
"combating","combat",4
"palestinian","palestinian",4
"sympathizers","sympath",4
"insulting","insult",4
"pledged","pledg",4
"ensure","ensur",4
"detainees","detaine",4
"african","african",4
"charlie","charli",4
"tax","tax",4
"emotional","emot",4
"detect","detect",4
"mosques","mosqu",4
"warns","warn",4
"tech","tech",4
"talks","talk",4
"shootings","shoot",4
"detonated","deton",4
"transit","transit",4
"nominee","nomine",4
"implementation","implement",4
"allegiance","allegi",4
"sites","site",4
"curb","curb",4
"metro","metro",4
"igor","igor",4
"civilians","civilian",4
"leftist","leftist",4
"pleaded","plead",4
"divisive","divis",4
"renew","renew",4
"spying","spi",4
"connections","connect",4
"konashenkov","konashenkov",4
"al-qaeda","al-qaeda",4
"spokeswoman","spokeswoman",4
"right-wing","right-w",4
"acronym","acronym",4
"philippines","philippin",4
"cease-fire","cease-fir",4
"tensions","tension",4
"moscow","moscow",4
"al-jayab","al-jayab",4
"ethnic","ethnic",4
"freedom","freedom",4
"options","option",4
"fueled","fuel",4
"weighing","weigh",4
"comey","comey",4
"foiled","foil",4
"sock","sock",4
"praised","prais",4
"hotel","hotel",4
"lawmakers","lawmak",4
"citing","cite",4
"trail","trail",4
"aiding","aid",4
"controversial","controversi",4
"caliphate","caliph",4
"declined","declin",4
"giuliani","giuliani",4
"blocked","block",4
"legally","legal",4
"ypg","ypg",4
"encryption","encrypt",4
"iraqi","iraqi",4
"stating","state",4
"tehran","tehran",4
"ceremony","ceremoni",4
"noting","note",4
"classifies","classifi",4
"al-qaida","al-qaida",4
"hostages","hostag",4
"paul","paul",4
"condemn","condemn",4
"bastille","bastill",4
"solidarity","solidar",4
"perpetrated","perpetr",4
"khan","khan",4
"document","document",4
"africa","africa",4
"territory","territori",4
"website","websit",4
"zone","zone",4
"airstrikes","airstrik",3
"infiltration","infiltr",3
"world's","world",3
"external","extern",3
"ryan","ryan",3
"swimwear","swimwear",3
"district","district",3
"requiring","requir",3
"advances","advanc",3
"abuses","abus",3
"founder","founder",3
"polls","poll",3
"supporters","support",3
"duncan","duncan",3
"china's","china",3
"mosul","mosul",3
"discovered","discov",3
"specially","special",3
"damascus","damascus",3
"radicalisation","radicalis",3
"spike","spike",3
"violent","violent",3
"workers'","worker",3
"devastating","devast",3
"museum","museum",3
"coalition","coalit",3
"sporting","sport",3
"repeatedly","repeat",3
"al-shabab","al-shabab",3
"protested","protest",3
"sympathiser","sympathis",3
"shifts","shift",3
"rio","rio",3
"treating","treat",3
"department's","depart",3
"mohammad","mohammad",3
"burkini","burkini",3
"sheriff's","sheriff",3
"garner","garner",3
"commanders","command",3
"siege","sieg",3
"pushing","push",3
"pakistani","pakistani",3
"installation","instal",3
"criticises","criticis",3
"rizwan","rizwan",3
"priority","prioriti",3
"euro","euro",3
"jabhat","jabhat",3
"procession","process",3
"funding","fund",3
"rebuke","rebuk",3
"indications","indic",3
"high-profile","high-profil",3
"risks","risk",3
"mediterranean","mediterranean",3
"hailed","hail",3
"publicize","public",3
"colombia","colombia",3
"academics","academ",3
"pivot","pivot",3
"outlet","outlet",3
"elite","elit",3
"veterans'","veteran",3
"moroccan","moroccan",3
"irish","irish",3
"sweep","sweep",3
"invoking","invok",3
"sector","sector",3
"spreading","spread",3
"assassinated","assassin",3
"fatal","fatal",3
"commentator","comment",3
"rented","rent",3
"resignation","resign",3
"southeast","southeast",3
"analyst","analyst",3
"advocates","advoc",3
"smuggle","smuggl",3
"liberator","liber",3
"surgical","surgic",3
"lawsuit","lawsuit",3
"chinese","chines",3
"stemming","stem",3
"pop","pop",3
"speaks","speak",3
"cop","cop",3
"patriot","patriot",3
"shelling","shell",3
"collapse","collaps",3
"syed","sy",3
"ohio","ohio",3
"thursday's","thursday",3
"bakr","bakr",3
"climate","climat",3
"gunman","gunman",3
"describing","describ",3
"fox","fox",3
"referring","refer",3
"pending","pend",3
"ali","ali",3
"people's","peopl",3
"google","googl",3
"los","los",3
"camps","camp",3
"afp","afp",3
"shocked","shock",3
"outrages","outrag",3
"inciting","incit",3
"initially","initi",3
"overthrow","overthrow",3
"icons","icon",3
"governance","govern",3
"deleted","delet",3
"invasion","invas",3
"ostentatiously","ostentati",3
"reiterated","reiter",3
"database","databas",3
"god","god",3
"dismissed","dismiss",3
"cia","cia",3
"vigilant","vigil",3
"presumptive","presumpt",3
"administration's","administr",3
"november's","novemb",3
"confront","confront",3
"farbrace","farbrac",3
"jack","jack",3
"somalia","somalia",3
"highlights","highlight",3
"exit","exit",3
"checks","check",3
"bruce","bruce",3
"rudy","rudi",3
"youtube","youtub",3
"bloodshed","bloodsh",3
"provoked","provok",3
"reaffirming","reaffirm",3
"borders","border",3
"angeles","angel",3
"al-sham","al-sham",3
"deployed","deploy",3
"urging","urg",3
"u-turns","u-turn",3
"argues","argu",3
"smith","smith",3
"followers","follow",3
"bangladesh","bangladesh",3
"hostile","hostil",3
"al-islam","al-islam",3
