term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"immigrants","immigr",2807,10000,0.2807,-0.509637514183,1.30976003653
"anti-immigrant","anti-immigr",512,10000,0.0512,,
"eu","eu",339,10000,0.0339,2.09856181128,0.323371345288
"brexit","brexit",258,10000,0.0258,,
"uk","uk",256,10000,0.0256,2.20045172046,-0.430035014446
"trump","trump",237,10000,0.0237,-0.312892791832,-0.537987659668
"britain","britain",209,10000,0.0209,1.84522453709,0.506254564188
"illegal","illeg",197,10000,0.0197,-0.380066268674,-0.272528641386
"european","european",182,10000,0.0182,2.09666730551,0.0315595357521
"muslim","muslim",170,10000,0.017,1.21437675364,1.09202493342
"british","british",149,10000,0.0149,2.11383047103,0.0210221384221
"election","elect",131,10000,0.0131,-0.721095100644,0.862790001908
"germany","germani",115,10000,0.0115,2.25985993048,0.0406092877597
"refugees","refuge",111,10000,0.0111,-0.530000197985,1.03180119047
"le","le",107,10000,0.0107,1.28519136168,-0.711893189354
"pen","pen",107,10000,0.0107,-0.017054324852,-0.475442234897
"france","franc",105,10000,0.0105,2.18877271891,-0.155990785037
"europe","europ",105,10000,0.0105,2.36504686389,0.0222977305219
"campaign","campaign",97,10000,0.0097,-0.709200616604,-0.0674469307698
"nationals","nation",89,10000,0.0089,-0.496269421981,0.29386499649
"wilders","wilder",85,10000,0.0085,,
"far-right","far-right",82,10000,0.0082,,
"french","french",81,10000,0.0081,1.80530485986,-0.212428696501
"economic","econom",81,10000,0.0081,-0.560060616202,0.321990883831
"london","london",80,10000,0.008,2.2872329773,-0.217924807401
"netherlands","netherland",78,10000,0.0078,1.42193120951,-0.112038081122
"undocumented","undocu",78,10000,0.0078,-0.319435918844,0.645892176183
"populist","populist",76,10000,0.0076,-0.824587596699,1.25458144579
"dutch","dutch",75,10000,0.0075,1.71954110604,-0.127430731227
"minister","minist",75,10000,0.0075,-0.557805602265,0.360218257461
"german","german",73,10000,0.0073,2.16365511391,-0.235634048151
"leader","leader",72,10000,0.0072,-0.57582423828,-0.201930348616
"american","american",69,10000,0.0069,1.94039328258,0.0396822665386
"democrats","democrat",64,10000,0.0064,0.308687105408,1.46058609478
"united","unit",64,10000,0.0064,-0.265869904121,0.203677147495
"borders","border",64,10000,0.0064,-0.353226102175,0.331961502317
"merkel's","merkel",63,10000,0.0063,,
"migrants","migrant",62,10000,0.0062,-0.469995777905,1.25080117381
"referendum","referendum",59,10000,0.0059,-0.653381560567,0.727647887478
"rhetoric","rhetor",59,10000,0.0059,-0.780572176059,1.09932291097
"america","america",59,10000,0.0059,2.2381893986,0.186096451998
"children","children",58,10000,0.0058,-0.482268061768,0.0261996383383
"freedom","freedom",57,10000,0.0057,-0.274921699369,0.42600713353
"economy","economi",55,10000,0.0055,-0.576217969506,0.43578225141
"crimes","crime",55,10000,0.0055,-0.49706129132,0.379786180848
"polls","poll",53,10000,0.0053,-0.764946146546,0.78816197725
"miller","miller",53,10000,0.0053,0.98660081634,-0.240533339606
"marine","marin",52,10000,0.0052,-0.151185709946,-0.411182902741
"ban","ban",52,10000,0.0052,-0.501902606908,-0.573996924504
"afd","afd",50,10000,0.005,,
"deported","deport",48,10000,0.0048,-0.631164879814,0.765430067486
"troublesome","troublesom",48,10000,0.0048,-0.536102240083,-0.490346490899
"nationalist","nationalist",47,10000,0.0047,-0.470139707753,1.58906514152
"conservative","conserv",47,10000,0.0047,-0.64927869468,0.750792495539
"ireland","ireland",46,10000,0.0046,2.10810867688,-0.164652582719
"anti-muslim","anti-muslim",43,10000,0.0043,,
"crisis","crisi",43,10000,0.0043,-0.559029614874,0.32211579103
"migration","migrat",43,10000,0.0043,-0.196664015266,0.0592693347975
"media","media",42,10000,0.0042,-0.317289217604,-0.0950681281766
"country's","countri",42,10000,0.0042,0.510241649746,0.0572320486228
"theresa","theresa",42,10000,0.0042,0.491197326485,-0.315556368938
"irish","irish",41,10000,0.0041,1.63739134889,0.0363892707833
"facebook","facebook",40,10000,0.004,0.731514718643,0.0211117262679
"donald","donald",40,10000,0.004,1.22719963675,-0.224324839403
"macron","macron",39,10000,0.0039,0.210926433342,-0.283866246781
"indian","indian",39,10000,0.0039,1.97525744451,-0.0568142386736
"students","student",38,10000,0.0038,-0.65142517655,0.133636183367
"parliament","parliament",38,10000,0.0038,-0.262546928243,1.01223826913
"philipps","philipp",38,10000,0.0038,,
"hostile","hostil",37,10000,0.0037,-0.619519749089,0.100837964398
"visa","visa",37,10000,0.0037,-0.314058619936,0.475192483448
"racist","racist",37,10000,0.0037,-0.112525764395,0.960729712329
"values","valu",37,10000,0.0037,-0.455650763543,0.119316139543
"bloody","bloodi",36,10000,0.0036,-0.0884255176031,0.0630785497726
"5,000","5,000",36,10000,0.0036,,
"accidentally","accident",35,10000,0.0035,-0.242743838099,-0.695514692424
"davids","david",35,10000,0.0035,,
"populism","popul",35,10000,0.0035,-0.498025025188,1.59779475303
"ukip","ukip",34,10000,0.0034,,
"welfare","welfar",34,10000,0.0034,-0.372445792204,0.580820433152
"tories","tori",31,10000,0.0031,1.19942586383,0.903026689231
"geert","geert",31,10000,0.0031,,
"racism","racism",30,10000,0.003,-0.388121425942,1.16290516392
"education","educ",30,10000,0.003,-0.389508191641,0.0976659847176
"integrated","integr",30,10000,0.003,-0.224307974267,-0.535668383044
"independence","independ",29,10000,0.0029,-0.333413061806,0.689383724462
"terrorist","terrorist",29,10000,0.0029,-0.343366081976,0.858425311921
"arriving","arriv",29,10000,0.0029,-0.448122999,-0.5323570957
"nhs","nhs",28,10000,0.0028,0.915046277849,-0.221102612257
"stinking","stink",27,10000,0.0027,0.292260249034,-0.156974530457
"eastern","eastern",27,10000,0.0027,-0.19731687462,-0.154635075523
"victory","victori",27,10000,0.0027,-0.8354003408,-0.351424998772
"native","nativ",27,10000,0.0027,-0.449135501296,-0.323269299323
"right-wing","right-w",27,10000,0.0027,-0.00643810184881,1.29683506614
"viscount","viscount",26,10000,0.0026,0.281268235484,-0.0659602466136
"brussels","brussel",26,10000,0.0026,0.788434970527,0.0613349630757
"english","english",26,10000,0.0026,1.69667996658,0.0324350552878
"tax","tax",26,10000,0.0026,-0.473884915264,0.197540098297
"supporters","support",26,10000,0.0026,-0.689569111383,0.112410499046
"mosques","mosqu",26,10000,0.0026,-0.114743842464,0.813272716288
"criminal","crimin",26,10000,0.0026,-0.601759304315,0.205644862458
"foreigners","foreign",26,10000,0.0026,-0.218559464562,0.628602446628
"influx","influx",25,10000,0.0025,-0.63800356461,-0.267935911891
"western","western",25,10000,0.0025,-0.203118230496,-0.13355153322
"terrorism","terror",25,10000,0.0025,-0.426477439589,1.12312635543
"bundestag","bundestag",25,10000,0.0025,,
"islamic","islam",25,10000,0.0025,1.4102112002,0.825427622899
"turkish","turkish",25,10000,0.0025,1.17393077601,0.00104802937685
"anti","anti",25,10000,0.0025,-0.294649323213,0.0905286131246
"globalization","global",25,10000,0.0025,-0.18835738932,0.754793884237
"agenda","agenda",24,10000,0.0024,-0.624568158319,0.38355453939
"citizenship","citizenship",24,10000,0.0024,-0.571734297944,1.03203339057
"england","england",24,10000,0.0024,2.42640833584,-0.0142738241712
"minorities","minor",24,10000,0.0024,-0.455352107423,0.843673446057
"asylum","asylum",23,10000,0.0023,-0.377884818412,1.16287313385
"farage","farag",23,10000,0.0023,,
"jungles","jungl",23,10000,0.0023,-0.241671323198,0.103908064997
"turkey","turkey",22,10000,0.0022,0.065601856884,-0.221727599308
"anti-eu","anti-eu",22,10000,0.0022,,
"pledge","pledg",22,10000,0.0022,-0.571821622557,-0.213982602591
"resentment","resent",22,10000,0.0022,-0.735818364696,0.690001911408
"allegedly","alleg",22,10000,0.0022,-0.469772844972,-0.675891257698
"polish","polish",22,10000,0.0022,-0.068156454862,-0.598718443981
"gina","gina",22,10000,0.0022,1.22323930865,-0.398673426499
"coalition","coalit",22,10000,0.0022,-0.710908882091,0.646216666621
"mainstream","mainstream",22,10000,0.0022,-0.251469097926,0.305827406913
"presidential","presidenti",21,10000,0.0021,-0.534888798098,0.612399075621
"varadkar","varadkar",21,10000,0.0021,,
"sector","sector",21,10000,0.0021,-0.316177000717,0.0211543295075
"families","famili",21,10000,0.0021,-0.615597754513,0.0437614580997
"african","african",21,10000,0.0021,1.95090490838,0.122977081297
"welcoming","welcom",21,10000,0.0021,-0.654257150799,-0.440919113432
"embrace","embrac",21,10000,0.0021,-0.689479124026,-0.438117830328
"rutte","rutt",21,10000,0.0021,,
"focused","focus",20,10000,0.002,-0.632975495111,-0.783244786292
"pro-immigrant","pro-immigr",20,10000,0.002,,
"australia","australia",20,10000,0.002,2.46011786347,-0.28698096491
"may's","may",20,10000,0.002,0.468062325238,-0.228370458558
"opinion","opinion",20,10000,0.002,-0.29336748912,0.00112700738855
"calling","call",20,10000,0.002,-0.293365550908,-0.61027962973
"jumper","jumper",19,10000,0.0019,-0.545516175222,-0.352165891833
"italy","itali",19,10000,0.0019,2.11801467486,-0.0345609131375
"refuse","refus",19,10000,0.0019,-0.303218591966,-0.317717650361
"northern","northern",19,10000,0.0019,-0.348856801243,-0.307892053243
"corbyn","corbyn",19,10000,0.0019,,
"backlash","backlash",19,10000,0.0019,-0.867456780111,0.109732406406
"mexican","mexican",19,10000,0.0019,1.94466290032,-0.146161315229
"celebrating","celebr",19,10000,0.0019,-0.549405072519,-0.687935019544
"anti-islam","anti-islam",18,10000,0.0018,,
"tweeted","tweet",18,10000,0.0018,0.422967813819,-0.591050680316
"mexico","mexico",18,10000,0.0018,2.47099448888,-0.0869577277531
"spain","spain",18,10000,0.0018,2.17924862543,-0.184566160497
"asian","asian",18,10000,0.0018,1.7714069251,-0.185005324408
"photo","photo",18,10000,0.0018,-0.183718834013,-0.532541343102
"passport","passport",17,10000,0.0017,-0.316802767384,0.328996183723
"contribution","contribut",17,10000,0.0017,-0.454740992868,-0.42413145805
"predicted","predict",17,10000,0.0017,-0.635442672916,-0.641924456838
"hungary","hungari",17,10000,0.0017,0.650659131413,-0.287361710966
"abuse","abus",17,10000,0.0017,-0.427394825665,0.0238417007075
"russia","russia",17,10000,0.0017,2.06826334708,0.105009432509
"jewish","jewish",17,10000,0.0017,1.50647090903,0.651419018193
"branded","brand",17,10000,0.0017,-0.203404589939,-0.692726548911
"restricting","restrict",17,10000,0.0017,-0.401284804983,-0.767837351548
"scientific","scientif",17,10000,0.0017,-0.185030821286,-0.120043045296
"dreamers","dreamer",17,10000,0.0017,-0.157669066247,0.124266734239
"ethnic","ethnic",17,10000,0.0017,-0.350889522049,0.869136479539
"michael","michael",17,10000,0.0017,2.25051985527,-0.380048986112
"rhodri","rhodri",17,10000,0.0017,,
"detention","detent",17,10000,0.0017,-0.628425262524,0.334725879229
"child","child",17,10000,0.0017,-0.399059330696,0.0213395150864
"presidency","presid",17,10000,0.0017,-0.578702526051,1.05638656745
"targeting","target",17,10000,0.0017,-0.454228457221,-0.828090488649
"post-brexit","post-brexit",16,10000,0.0016,,
"seekers","seeker",16,10000,0.0016,-0.0329815704804,-0.00820826340855
"radical","radic",16,10000,0.0016,-0.52527641383,0.524290720073
"poland","poland",16,10000,0.0016,1.24308325997,0.0205511274526
"mps","mps",16,10000,0.0016,1.00798864246,0.115836262182
"fuels","fuel",16,10000,0.0016,-0.439016486604,-0.38705821793
"stance","stanc",16,10000,0.0016,-0.628089411506,-0.057014337785
"blamed","blame",16,10000,0.0016,-0.807473851119,-0.827317839059
"elites","elit",16,10000,0.0016,-0.088557334203,1.07655474155
"non-eu","non-eu",16,10000,0.0016,,
"diverse","divers",16,10000,0.0016,-0.564358522231,-0.29616949066
"climate","climat",16,10000,0.0016,-0.362362517774,0.138399240139
"tolerated","toler",16,10000,0.0016,-0.409803744834,-0.0625967172107
"italian","italian",15,10000,0.0015,2.02703173484,-0.273179424636
"relies","reli",15,10000,0.0015,-0.589175983844,-0.956011197102
"university","univers",15,10000,0.0015,-0.424994017039,0.0402994990181
"emmanuel","emmanuel",15,10000,0.0015,,
"tower","tower",15,10000,0.0015,-0.411441809201,-0.527274969003
"4th","4th",15,10000,0.0015,-0.0196246827923,-0.524279422394
"bbc","bbc",15,10000,0.0015,2.01412683855,0.213463886845
"arguing","argu",15,10000,0.0015,-0.578259454269,-0.419979346594
"surge","surg",15,10000,0.0015,-0.550089965854,-0.532328457286
"checks","check",15,10000,0.0015,-0.537743877605,-0.434365113141
"funding","fund",15,10000,0.0015,-0.600745628266,-0.244249687048
"violence","violenc",15,10000,0.0015,-0.723436333535,0.704251774869
"boost","boost",15,10000,0.0015,-0.617851414294,-0.983172541035
"residency","resid",15,10000,0.0015,-0.660626306512,0.195677895442
"reuters","reuter",15,10000,0.0015,1.10995918621,-0.204319483818
"berlin","berlin",14,10000,0.0014,1.58457587253,-0.0798552206921
"sweden","sweden",14,10000,0.0014,1.9587684216,0.0833643720966
"commit","commit",14,10000,0.0014,-0.504097720834,-0.688904893421
"first-generation","first-gener",14,10000,0.0014,,
"politician","politician",14,10000,0.0014,-0.508745865823,0.985449139166
"judge","judg",14,10000,0.0014,-0.510465525848,-0.281268683825
"reject","reject",14,10000,0.0014,-0.617462174931,-0.313089145852
"exploit","exploit",14,10000,0.0014,-0.290782326539,-0.58355426726
"threaten","threaten",14,10000,0.0014,-0.526119685206,-0.671051457591
"leo","leo",14,10000,0.0014,1.5234864412,-0.380249265271
"government's","govern",14,10000,0.0014,-0.443600705598,0.425880559057
"year's","year",14,10000,0.0014,-0.478176591034,-0.459552152057
"scapegoats","scapegoat",14,10000,0.0014,-0.661119706211,0.408369435742
"negotiating","negoti",14,10000,0.0014,-0.8329350614,-0.688027976033
"lord","lord",14,10000,0.0014,0.553632528771,-0.0537797875418
"stoked","stoke",14,10000,0.0014,-0.302849930052,-0.476517779955
"angela","angela",14,10000,0.0014,1.08469503937,-0.367024667941
"healthcare","healthcar",14,10000,0.0014,-0.15836626388,0.0153956897282
"unskilled","unskil",13,10000,0.0013,-0.0883287066945,0.278454220659
"centrist","centrist",13,10000,0.0013,-0.761724039384,1.5351544255
"headline","headlin",13,10000,0.0013,-0.274519291183,-0.117542105894
"syrian","syrian",13,10000,0.0013,0.57382796898,0.039566344536
"quit","quit",13,10000,0.0013,-0.358132002976,-0.541635457745
"prejudice","prejudic",13,10000,0.0013,-0.455287637299,0.628792753179
"backgrounds","background",13,10000,0.0013,-0.367377250843,0.100158308983
"protections","protect",13,10000,0.0013,-0.543925905022,-0.291059604366
"rallying","ralli",13,10000,0.0013,-0.645695436396,-0.341804365986
"paris","pari",13,10000,0.0013,1.91081713927,-0.301493594029
"republicans","republican",13,10000,0.0013,0.527110004731,1.17363427288
"advocated","advoc",13,10000,0.0013,-0.764122258211,-0.34244382124
"progressive","progress",13,10000,0.0013,-0.253565377024,0.363811610681
"britons","briton",13,10000,0.0013,,
"xenophobic","xenophob",12,10000,0.0012,-0.356899878528,1.45092134353
"imported","import",12,10000,0.0012,-0.174047994868,-0.233625680836
"nigel","nigel",12,10000,0.0012,1.03490616547,-0.293988045533
"jews","jew",12,10000,0.0012,1.4626837942,0.863225361315
"scotland","scotland",12,10000,0.0012,1.81603008481,-0.192361457736
"divisions","divis",12,10000,0.0012,-0.437508576235,-0.142240157471
"emigrant","emigr",12,10000,0.0012,-0.369966991037,0.664149335829
"unemployed","unemploy",12,10000,0.0012,-0.494643413513,0.462532426895
"linked","link",12,10000,0.0012,-0.436291320625,-0.863472836992
"activists","activist",12,10000,0.0012,-0.640023871758,0.417012259243
"messages","messag",12,10000,0.0012,-0.561639830479,-0.299084780806
"austria","austria",12,10000,0.0012,0.970578566907,-0.243863118512
"blair","blair",12,10000,0.0012,1.22885418963,0.0010106749419
"document","document",12,10000,0.0012,-0.403111705958,-0.187247159932
"pro-brexit","pro-brexit",12,10000,0.0012,,
"talks","talk",12,10000,0.0012,-0.669929388293,-0.460760207352
"scapegoating","scapego",12,10000,0.0012,-0.617820645755,0.55312773344
