term,stem,count,sample_size,ratio
"brexit","brexit",217,2000,0.1085
"eu","eu",182,2000,0.091
"uk","uk",134,2000,0.067
"britain","britain",115,2000,0.0575
"election","elect",70,2000,0.035
"minister","minist",66,2000,0.033
"european","european",59,2000,0.0295
"theresa","theresa",57,2000,0.0285
"british","british",55,2000,0.0275
"london","london",52,2000,0.026
"conservative","conserv",49,2000,0.0245
"corbyn","corbyn",48,2000,0.024
"tory","tori",47,2000,0.0235
"trump","trump",42,2000,0.021
"economic","econom",35,2000,0.0175
"negotiators","negoti",35,2000,0.0175
"ireland","ireland",31,2000,0.0155
"economy","economi",30,2000,0.015
"europe","europ",30,2000,0.015
"talks","talk",29,2000,0.0145
"referendum","referendum",27,2000,0.0135
"jeremy","jeremi",27,2000,0.0135
"poll","poll",27,2000,0.0135
"leader","leader",26,2000,0.013
"mps","mps",26,2000,0.013
"agreement","agreement",25,2000,0.0125
"campaign","campaign",25,2000,0.0125
"parliament","parliament",24,2000,0.012
"may's","may",23,2000,0.0115
"northern","northern",23,2000,0.0115
"scotland","scotland",20,2000,0.01
"crisis","crisi",19,2000,0.0095
"exit","exit",18,2000,0.009
"euro","euro",18,2000,0.009
"brussels","brussel",18,2000,0.009
"irish","irish",17,2000,0.0085
"united","unit",17,2000,0.0085
"german","german",17,2000,0.0085
"johnson","johnson",17,2000,0.0085
"media","media",17,2000,0.0085
"nations","nation",17,2000,0.0085
"david","david",16,2000,0.008
"england","england",16,2000,0.008
"cet","cet",16,2000,0.008
"uncertainty","uncertainti",16,2000,0.008
"davis","davi",16,2000,0.008
"deliver","deliv",15,2000,0.0075
"customs","custom",15,2000,0.0075
"regulation","regul",15,2000,0.0075
"independence","independ",15,2000,0.0075
"reporting","report",15,2000,0.0075
"barnier","barnier",14,2000,0.007
"immigration","immigr",14,2000,0.007
"france","franc",14,2000,0.007
"hammond","hammond",14,2000,0.007
"photo","photo",14,2000,0.007
"supporters","support",13,2000,0.0065
"dup","dup",13,2000,0.0065
"chancellor","chancellor",13,2000,0.0065
"seats","seat",13,2000,0.0065
"sector","sector",13,2000,0.0065
"reuters","reuter",13,2000,0.0065
"germany","germani",13,2000,0.0065
"john","john",12,2000,0.006
"university","univers",12,2000,0.006
"global","global",12,2000,0.006
"getty","getti",12,2000,0.006
"predicted","predict",12,2000,0.006
"donald","donald",12,2000,0.006
"education","educ",12,2000,0.006
"labour's","labour",12,2000,0.006
"china","china",12,2000,0.006
"investors","investor",12,2000,0.006
"cabinet","cabinet",12,2000,0.006
"opinion","opinion",12,2000,0.006
"mp","mp",12,2000,0.006
"democrats","democrat",11,2000,0.0055
"dem","dem",11,2000,0.0055
"cameron","cameron",11,2000,0.0055
"sterling","sterl",11,2000,0.0055
"bbc","bbc",11,2000,0.0055
"french","french",11,2000,0.0055
"resign","resign",11,2000,0.0055
"britons","briton",10,2000,0.005
"cooperation","cooper",10,2000,0.005
"migration","migrat",10,2000,0.005
"bloc","bloc",10,2000,0.005
"coalition","coalit",10,2000,0.005
"post-brexit","post-brexit",10,2000,0.005
"government's","govern",10,2000,0.005
"westminster","westminst",10,2000,0.005
"journalists","journalist",10,2000,0.005
"boost","boost",10,2000,0.005
"philip","philip",10,2000,0.005
"lib","lib",10,2000,0.005
"republican","republican",10,2000,0.005
"commons","common",9,2000,0.0045
"tax","tax",9,2000,0.0045
"commission","commiss",9,2000,0.0045
"updated","updat",9,2000,0.0045
"tony","toni",9,2000,0.0045
"scottish","scottish",9,2000,0.0045
"manifesto","manifesto",9,2000,0.0045
"russia","russia",9,2000,0.0045
"tariffs","tariff",9,2000,0.0045
"triggering","trigger",9,2000,0.0045
"ensure","ensur",9,2000,0.0045
"macron","macron",9,2000,0.0045
"forecast","forecast",9,2000,0.0045
"boris","bori",9,2000,0.0045
"pa","pa",9,2000,0.0045
"treaty","treati",9,2000,0.0045
"juncker","juncker",8,2000,0.004
"editing","edit",8,2000,0.004
"lords","lord",8,2000,0.004
"assets","asset",8,2000,0.004
"institute","institut",8,2000,0.004
"snp","snp",8,2000,0.004
"embarrassing","embarrass",8,2000,0.004
"english","english",8,2000,0.004
"william","william",8,2000,0.004
"blair","blair",8,2000,0.004
"exports","export",8,2000,0.004
"imported","import",8,2000,0.004
"merkel","merkel",8,2000,0.004
"americans","american",8,2000,0.004
"funding","fund",8,2000,0.004
"inflation","inflat",8,2000,0.004
"party's","parti",8,2000,0.004
"withdrawal","withdraw",7,2000,0.0035
"rally","ralli",7,2000,0.0035
"retail","retail",7,2000,0.0035
"website","websit",7,2000,0.0035
"sinn","sinn",7,2000,0.0035
"farage","farag",7,2000,0.0035
"8/","8/",7,2000,0.0035
"lawmakers","lawmak",7,2000,0.0035
"strengthen","strengthen",7,2000,0.0035
"fox","fox",7,2000,0.0035
"wto","wto",7,2000,0.0035
"challenged","challeng",7,2000,0.0035
"partnership","partnership",7,2000,0.0035
"politico","politico",7,2000,0.0035
"deficit","deficit",7,2000,0.0035
"sir","sir",7,2000,0.0035
"options","option",7,2000,0.0035
"year's","year",7,2000,0.0035
"analysts","analyst",7,2000,0.0035
"gibraltar","gibraltar",7,2000,0.0035
"branding","brand",7,2000,0.0035
"damaging","damag",7,2000,0.0035
"manchester","manchest",7,2000,0.0035
"paris","pari",7,2000,0.0035
"sturgeon","sturgeon",7,2000,0.0035
"failing","fail",6,2000,0.003
"ecj","ecj",6,2000,0.003
"le","le",6,2000,0.003
"stance","stanc",6,2000,0.003
"centre","centr",6,2000,0.003
"investigated","investig",6,2000,0.003
"mayor","mayor",6,2000,0.003
"dominic","domin",6,2000,0.003
"spanish","spanish",6,2000,0.003
"directive","direct",6,2000,0.003
"de","de",6,2000,0.003
"angela","angela",6,2000,0.003
"constituency","constitu",6,2000,0.003
"organisation","organis",6,2000,0.003
"keir","keir",6,2000,0.003
"departure","departur",6,2000,0.003
"terror","terror",6,2000,0.003
"students","student",6,2000,0.003
"families","famili",6,2000,0.003
"celebrate","celebr",6,2000,0.003
"favour","favour",6,2000,0.003
"briefing","brief",6,2000,0.003
"undermine","undermin",6,2000,0.003
"commitment","commit",6,2000,0.003
"ministry","ministri",6,2000,0.003
"providers","provid",6,2000,0.003
"leavers","leaver",6,2000,0.003
"martin","martin",6,2000,0.003
"nhs","nhs",6,2000,0.003
"tweeted","tweet",6,2000,0.003
"electoral","elector",6,2000,0.003
"guaranteed","guarante",6,2000,0.003
"infrastructure","infrastructur",6,2000,0.003
"allegations","alleg",6,2000,0.003
"photograph","photograph",6,2000,0.003
"chamber","chamber",6,2000,0.003
"spokesman","spokesman",6,2000,0.003
"parliamentary","parliamentari",6,2000,0.003
"unemployment","unemploy",6,2000,0.003
"dutch","dutch",6,2000,0.003
"gdp","gdp",5,2000,0.0025
"mcdonnell","mcdonnel",5,2000,0.0025
"engage","engag",5,2000,0.0025
"paul","paul",5,2000,0.0025
"risks","risk",5,2000,0.0025
"fein","fein",5,2000,0.0025
"bst","bst",5,2000,0.0025
"james","jame",5,2000,0.0025
"defines","defin",5,2000,0.0025
"plc's","plc",5,2000,0.0025
"focused","focus",5,2000,0.0025
"unionist","unionist",5,2000,0.0025
"wider","wider",5,2000,0.0025
"borders","border",5,2000,0.0025
"debt","debt",5,2000,0.0025
"tackling","tackl",5,2000,0.0025
"lisbon","lisbon",5,2000,0.0025
"warnings","warn",5,2000,0.0025
"criticised","criticis",5,2000,0.0025
"shadow","shadow",5,2000,0.0025
"quit","quit",5,2000,0.0025
"racist","racist",5,2000,0.0025
"twitter","twitter",5,2000,0.0025
"ress","ress",5,2000,0.0025
"pledge","pledg",5,2000,0.0025
"victory","victori",5,2000,0.0025
"economists","economist",5,2000,0.0025
"moore","moor",5,2000,0.0025
"world's","world",5,2000,0.0025
"pays","pay",5,2000,0.0025
"holiday","holiday",5,2000,0.0025
"kick","kick",5,2000,0.0025
"treasury","treasuri",5,2000,0.0025
"denying","deni",5,2000,0.0025
"radical","radic",5,2000,0.0025
"pen","pen",5,2000,0.0025
"two-year","two-year",5,2000,0.0025
"cest","cest",5,2000,0.0025
"split","split",5,2000,0.0025
"itunes","itun",5,2000,0.0025
"tom","tom",5,2000,0.0025
"rogers","roger",5,2000,0.0025
"scenario","scenario",5,2000,0.0025
"italy","itali",5,2000,0.0025
"secured","secur",5,2000,0.0025
"partners","partner",5,2000,0.0025
"reforms","reform",5,2000,0.0025
"nuttall","nuttal",5,2000,0.0025
"agenda","agenda",5,2000,0.0025
"mcdonald","mcdonald",5,2000,0.0025
"gmt","gmt",5,2000,0.0025
"osborne","osborn",5,2000,0.0025
"adam","adam",4,2000,0.002
"quote","quot",4,2000,0.002
"itv","itv",4,2000,0.002
"socialist","socialist",4,2000,0.002
"america","america",4,2000,0.002
"pictured","pictur",4,2000,0.002
"slammed","slam",4,2000,0.002
"arms","arm",4,2000,0.002
"criminal","crimin",4,2000,0.002
"congress","congress",4,2000,0.002
"industries","industri",4,2000,0.002
"nick","nick",4,2000,0.002
"nigel","nigel",4,2000,0.002
"activists","activist",4,2000,0.002
"ban","ban",4,2000,0.002
"nicola","nicola",4,2000,0.002
"transitional","transit",4,2000,0.002
"euratom","euratom",4,2000,0.002
"outlined","outlin",4,2000,0.002
"intelligence","intellig",4,2000,0.002
"pensions","pension",4,2000,0.002
"calling","call",4,2000,0.002
"expecting","expect",4,2000,0.002
"queen's","queen",4,2000,0.002
"abusing","abus",4,2000,0.002
"participants","particip",4,2000,0.002
"speaks","speak",4,2000,0.002
"productivity","product",4,2000,0.002
"tune","tune",4,2000,0.002
"scots","scot",4,2000,0.002
"mentioning","mention",4,2000,0.002
"poses","pose",4,2000,0.002
"kim","kim",4,2000,0.002
"ben","ben",4,2000,0.002
"michael","michael",4,2000,0.002
"attendance","attend",4,2000,0.002
"george","georg",4,2000,0.002
"solutions","solut",4,2000,0.002
"backbenchers","backbench",4,2000,0.002
"ukip","ukip",4,2000,0.002
"headline","headlin",4,2000,0.002
"anti-brexit","anti-brexit",4,2000,0.002
"president's","presid",4,2000,0.002
"clinton's","clinton",4,2000,0.002
"investing","invest",4,2000,0.002
"washington","washington",4,2000,0.002
"chinese","chines",4,2000,0.002
"ceo","ceo",4,2000,0.002
"concentrating","concentr",4,2000,0.002
"dublin","dublin",4,2000,0.002
"counted","count",4,2000,0.002
"obsessed","obsess",4,2000,0.002
"nuclear","nuclear",4,2000,0.002
"programme","programm",4,2000,0.002
"disabilities","disabl",4,2000,0.002
"internet","internet",4,2000,0.002
"integrated","integr",4,2000,0.002
"repeatedly","repeat",4,2000,0.002
"earn","earn",4,2000,0.002
"françois","françoi",4,2000,0.002
"embraced","embrac",4,2000,0.002
"billions","billion",4,2000,0.002
"bloomberg","bloomberg",4,2000,0.002
"mep","mep",4,2000,0.002
"supermarkets","supermarket",4,2000,0.002
"smith","smith",4,2000,0.002
"professor","professor",4,2000,0.002
"studies","studi",4,2000,0.002
"accusing","accus",4,2000,0.002
"tusk","tusk",4,2000,0.002
"commentary","commentari",4,2000,0.002
"assembly","assembl",4,2000,0.002
"andrew","andrew",4,2000,0.002
"snap","snap",4,2000,0.002
"transport","transport",4,2000,0.002
"veto","veto",4,2000,0.002
"robert","robert",4,2000,0.002
"people's","peopl",4,2000,0.002
"by-election","by-elect",4,2000,0.002
"islamic","islam",4,2000,0.002
"politically","polit",4,2000,0.002
"agreeing","agre",4,2000,0.002
"territories","territori",4,2000,0.002
"vowed","vow",4,2000,0.002
"tricky","tricki",4,2000,0.002
"populism","popul",4,2000,0.002
"zone","zone",4,2000,0.002
"checks","check",4,2000,0.002
"residency","resid",4,2000,0.002
"dialogue","dialogu",4,2000,0.002
"framework","framework",4,2000,0.002
"miller","miller",4,2000,0.002
"signalés","signal",4,2000,0.002
"discussing","discuss",4,2000,0.002
"children","children",4,2000,0.002
"pretend","pretend",4,2000,0.002
"islington","islington",4,2000,0.002
"acknowledging","acknowledg",4,2000,0.002
"wales","wale",4,2000,0.002
"tonnes","tonn",4,2000,0.002
"australia","australia",4,2000,0.002
"battles","battl",4,2000,0.002
"posters","poster",4,2000,0.002
"adopt","adopt",4,2000,0.002
"deputy","deputi",4,2000,0.002
"mandate","mandat",4,2000,0.002
"hague","hagu",4,2000,0.002
"values","valu",4,2000,0.002
"guardian","guardian",4,2000,0.002
"dismissed","dismiss",4,2000,0.002
"netherlands","netherland",4,2000,0.002
"presidential","presidenti",4,2000,0.002
"formally","formal",4,2000,0.002
"implementation","implement",4,2000,0.002
"predecessor","predecessor",4,2000,0.002
"spd","spd",4,2000,0.002
"violence","violenc",4,2000,0.002
"cautious","cautious",3,2000,0.0015
"ties","tie",3,2000,0.0015
"centrist","centrist",3,2000,0.0015
"lender","lender",3,2000,0.0015
"rome","rome",3,2000,0.0015
"destination","destin",3,2000,0.0015
"protecting","protect",3,2000,0.0015
"median","median",3,2000,0.0015
"everyday","everyday",3,2000,0.0015
"trillion","trillion",3,2000,0.0015
"disputes","disput",3,2000,0.0015
"michel","michel",3,2000,0.0015
"carney","carney",3,2000,0.0015
"reluctant","reluct",3,2000,0.0015
"emily","emili",3,2000,0.0015
"ema","ema",3,2000,0.0015
"crime","crime",3,2000,0.0015
"denouncing","denounc",3,2000,0.0015
"borrowing","borrow",3,2000,0.0015
"wed","wed",3,2000,0.0015
"profile","profil",3,2000,0.0015
"futures","futur",3,2000,0.0015
"isles","isl",3,2000,0.0015
"susan","susan",3,2000,0.0015
"weapon","weapon",3,2000,0.0015
"boe","boe",3,2000,0.0015
"peter","peter",3,2000,0.0015
"prince","princ",3,2000,0.0015
"dialogos","dialogo",3,2000,0.0015
"huffpost","huffpost",3,2000,0.0015
"comme","comm",3,2000,0.0015
"bosses","boss",3,2000,0.0015
"marginals","margin",3,2000,0.0015
"quo","quo",3,2000,0.0015
"union's","union",3,2000,0.0015
"subsidies","subsidi",3,2000,0.0015
"overhaul","overhaul",3,2000,0.0015
"argues","argu",3,2000,0.0015
"starmer","starmer",3,2000,0.0015
"wins","win",3,2000,0.0015
"emerging","emerg",3,2000,0.0015
"greens","green",3,2000,0.0015
"gaps","gap",3,2000,0.0015
"ap","ap",3,2000,0.0015
"defied","defi",3,2000,0.0015
"ira","ira",3,2000,0.0015
"employs","employ",3,2000,0.0015
"healthcare","healthcar",3,2000,0.0015
"characterised","characteris",3,2000,0.0015
"accessible","access",3,2000,0.0015
"podcast","podcast",3,2000,0.0015
"upset","upset",3,2000,0.0015
"passport","passport",3,2000,0.0015
"belfast","belfast",3,2000,0.0015
"churchill","churchil",3,2000,0.0015
"leaked","leak",3,2000,0.0015
"advert","advert",3,2000,0.0015
"hardball","hardbal",3,2000,0.0015
"owns","own",3,2000,0.0015
"contender","contend",3,2000,0.0015
"park","park",3,2000,0.0015
"ongoing","ongo",3,2000,0.0015
"stocks","stock",3,2000,0.0015
"slowing","slow",3,2000,0.0015
"chilling","chill",3,2000,0.0015
"christian","christian",3,2000,0.0015
"regulatory","regulatori",3,2000,0.0015
"draws","draw",3,2000,0.0015
"mocked","mock",3,2000,0.0015
"revenue","revenu",3,2000,0.0015
"revised","revis",3,2000,0.0015
"react","react",3,2000,0.0015
"florence","florenc",3,2000,0.0015
"rigged","rig",3,2000,0.0015
"stadium","stadium",3,2000,0.0015
"sacked","sack",3,2000,0.0015
"appoint","appoint",3,2000,0.0015
"cox","cox",3,2000,0.0015
"promoting","promot",3,2000,0.0015
"morgan","morgan",3,2000,0.0015
"victims","victim",3,2000,0.0015
"nasty","nasti",3,2000,0.0015
"quarterly","quarter",3,2000,0.0015
"tv","tv",3,2000,0.0015
"peugeot","peugeot",3,2000,0.0015
"disruption","disrupt",3,2000,0.0015
"walks","walk",3,2000,0.0015
"emmanuel","emmanuel",3,2000,0.0015
"remainers","remain",3,2000,0.0015
"anna","anna",3,2000,0.0015
"van","van",3,2000,0.0015
"strength","strength",3,2000,0.0015
"fundamental","fundament",3,2000,0.0015
"muslim","muslim",3,2000,0.0015
"clue","clue",3,2000,0.0015
"strategist","strategist",3,2000,0.0015
"madrid","madrid",3,2000,0.0015
"christine","christin",3,2000,0.0015
"21st","21st",3,2000,0.0015
"billionaire","billionair",3,2000,0.0015
"priorities","prioriti",3,2000,0.0015
"awkward","awkward",3,2000,0.0015
"jonathan","jonathan",3,2000,0.0015
"regret","regret",3,2000,0.0015
"migrants","migrant",3,2000,0.0015
"cambridge","cambridg",3,2000,0.0015
"consensus","consensus",3,2000,0.0015
"fuel","fuel",3,2000,0.0015
"internationally","intern",3,2000,0.0015
"frankly","frank",3,2000,0.0015
"tens","ten",3,2000,0.0015
"formalised","formalis",3,2000,0.0015
"disappointment","disappoint",3,2000,0.0015
"owing","owe",3,2000,0.0015
"links","link",3,2000,0.0015
"restricted","restrict",3,2000,0.0015
"arose","aros",3,2000,0.0015
"claiming","claim",3,2000,0.0015
"reduces","reduc",3,2000,0.0015
"prompted","prompt",3,2000,0.0015
"aligned","align",3,2000,0.0015
"ignoring","ignor",3,2000,0.0015
"clearer","clearer",3,2000,0.0015
"fisher","fisher",3,2000,0.0015
"officially","offici",3,2000,0.0015
"youthful","youth",3,2000,0.0015
"grilling","grill",3,2000,0.0015
"vulnerable","vulner",3,2000,0.0015
"founder","founder",3,2000,0.0015
"jacob","jacob",3,2000,0.0015
"declaring","declar",3,2000,0.0015
"models","model",3,2000,0.0015
"environmental","environment",3,2000,0.0015
"proceedings","proceed",3,2000,0.0015
"khan","khan",3,2000,0.0015
"spain","spain",3,2000,0.0015
"lengthy","lengthi",3,2000,0.0015
